puzzleid,functions,function_lengths,paint
12598,5,"['-sublen5', '-sublen5', '-sublen3', '-sublen3', '-sublen3']",[1]
12597,5,"['-sublen6', '-sublen4', '-sublen4', '-sublen4', '-sublen4']",[0]
12596,3,"['-sublen9', '-sublen5', '-sublen9']",[0]
12595,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
12594,2,"['-sublen3', '-sublen5']",[0]
12593,2,"['-sublen8', '-sublen5']",[1]
12592,4,"['-sublen4', '-sublen5', '-sublen4', '-sublen2']",[0]
12591,2,"['-sublen3', '-sublen5']",[0]
12590,4,"['-sublen8', '-sublen4', '-sublen2', '-sublen2']",[0]
12589,2,"['-sublen7', '-sublen2']",[0]
12588,3,"['-sublen3', '-sublen5', '-sublen2']",[0]
12587,5,"['-sublen2', '-sublen8', '-sublen6', '-sublen8', '-sublen10']",[0]
12586,3,"['-sublen2', '-sublen6', '-sublen5']",[1]
12585,2,"['-sublen8', '-sublen2']",[0]
12584,2,"['-sublen5', '-sublen2']",[0]
12583,1,['-sublen10'],[0]
12582,1,['-sublen10'],[0]
12581,3,"['-sublen2', '-sublen2', '-sublen2']",[0]
12580,3,"['-sublen9', '-sublen2', '-sublen4']",[1]
12579,2,"['-sublen4', '-sublen5']",[1]
12578,2,"['-sublen8', '-sublen2']",[0]
12577,3,"['-sublen2', '-sublen3', '-sublen2']",[0]
12576,3,"['-sublen2', '-sublen5', '-sublen3']",[1]
12575,1,['-sublen7'],[0]
12574,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
12573,1,['-sublen5'],[0]
12572,1,['-sublen4'],[0]
12571,1,['-sublen10'],[0]
12570,2,"['-sublen10', '-sublen5']",[0]
12569,3,"['-sublen10', '-sublen7', '-sublen2']",[1]
12568,5,"['-sublen4', '-sublen6', '-sublen7', '-sublen5', '-sublen6']",[1]
12567,1,['-sublen5'],[1]
12566,2,"['-sublen7', '-sublen3']",[0]
12565,2,"['-sublen4', '-sublen5']",[0]
12564,2,"['-sublen3', '-sublen5']",[0]
12563,3,"['-sublen4', '-sublen3', '-sublen3']",[0]
12562,1,['-sublen10'],[0]
12561,1,['-sublen6'],[0]
12560,5,"['-sublen2', '-sublen2', '-sublen2', '-sublen2', '-sublen2']",[0]
12559,2,"['-sublen4', '-sublen3']",[0]
12558,5,"['-sublen6', '-sublen3', '-sublen3', '-sublen4', '-sublen2']",[1]
12557,1,['-sublen6'],[1]
12556,1,['-sublen6'],[1]
12555,3,"['-sublen2', '-sublen7', '-sublen4']",[0]
12554,4,"['-sublen7', '-sublen7', '-sublen2', '-sublen2']",[0]
12553,4,"['-sublen10', '-sublen2', '-sublen3', '-sublen5']",[0]
12552,2,"['-sublen7', '-sublen7']",[1]
12551,4,"['-sublen5', '-sublen2', '-sublen2', '-sublen2']",[0]
12550,5,"['-sublen7', '-sublen6', '-sublen5', '-sublen4', '-sublen3']",[0]
12549,3,"['-sublen7', '-sublen2', '-sublen2']",[0]
12548,3,"['-sublen4', '-sublen4', '-sublen3']",[0]
12547,2,"['-sublen4', '-sublen4']",[0]
12546,2,"['-sublen5', '-sublen4']",[0]
12545,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen4']",[0]
12544,3,"['-sublen9', '-sublen6', '-sublen3']",[0]
12543,4,"['-sublen6', '-sublen9', '-sublen4', '-sublen3']",[1]
12542,2,"['-sublen3', '-sublen4']",[0]
12541,5,"['-sublen5', '-sublen2', '-sublen2', '-sublen2', '-sublen3']",[0]
12540,5,"['-sublen9', '-sublen3', '-sublen3', '-sublen2', '-sublen9']",[0]
12539,3,"['-sublen2', '-sublen3', '-sublen3']",[0]
12538,3,"['-sublen6', '-sublen6', '-sublen6']",[1]
12537,3,"['-sublen5', '-sublen6', '-sublen6']",[1]
12536,2,"['-sublen2', '-sublen6']",[0]
12535,5,"['-sublen3', '-sublen6', '-sublen7', '-sublen2', '-sublen2']",[0]
12534,3,"['-sublen7', '-sublen5', '-sublen5']",[0]
12532,3,"['-sublen10', '-sublen7', '-sublen6']",[1]
12531,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
12530,3,"['-sublen9', '-sublen3', '-sublen4']",[0]
12529,1,['-sublen6'],[0]
12528,1,['-sublen4'],[0]
12527,2,"['-sublen9', '-sublen3']",[0]
12526,5,"['-sublen6', '-sublen2', '-sublen2', '-sublen2', '-sublen3']",[0]
12525,5,"['-sublen7', '-sublen5', '-sublen6', '-sublen7', '-sublen4']",[0]
12524,1,['-sublen8'],[0]
12523,5,"['-sublen8', '-sublen3', '-sublen6', '-sublen2', '-sublen5']",[0]
12522,3,"['-sublen10', '-sublen5', '-sublen5']",[1]
12521,5,"['-sublen10', '-sublen6', '-sublen9', '-sublen3', '-sublen5']",[1]
12520,3,"['-sublen6', '-sublen5', '-sublen4']",[1]
12519,2,"['-sublen10', '-sublen3']",[0]
12518,4,"['-sublen4', '-sublen6', '-sublen3', '-sublen3']",[1]
12516,3,"['-sublen2', '-sublen5', '-sublen2']",[0]
12515,2,"['-sublen3', '-sublen3']",[0]
12514,2,"['-sublen4', '-sublen3']",[1]
12513,1,['-sublen6'],[1]
12512,1,['-sublen5'],[0]
12511,1,['-sublen5'],[0]
12510,5,"['-sublen9', '-sublen5', '-sublen4', '-sublen6', '-sublen4']",[1]
12509,2,"['-sublen9', '-sublen2']",[0]
12508,4,"['-sublen4', '-sublen4', '-sublen4', '-sublen2']",[0]
12507,2,"['-sublen7', '-sublen7']",[1]
12506,3,"['-sublen5', '-sublen7', '-sublen4']",[0]
12505,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
12504,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
12503,5,"['-sublen7', '-sublen7', '-sublen3', '-sublen4', '-sublen5']",[1]
12502,1,['-sublen9'],[0]
12501,5,"['-sublen7', '-sublen8', '-sublen7', '-sublen6', '-sublen3']",[1]
12500,5,"['-sublen7', '-sublen4', '-sublen4', '-sublen5', '-sublen2']",[1]
12499,2,"['-sublen2', '-sublen3']",[1]
12498,2,"['-sublen3', '-sublen3']",[1]
12497,5,"['-sublen8', '-sublen8', '-sublen4', '-sublen3', '-sublen5']",[1]
12496,3,"['-sublen4', '-sublen7', '-sublen2']",[0]
12495,1,['-sublen10'],[1]
12494,3,"['-sublen3', '-sublen3', '-sublen3']",[1]
12493,2,"['-sublen10', '-sublen10']",[1]
12491,1,['-sublen6'],[1]
12490,5,"['-sublen9', '-sublen8', '-sublen5', '-sublen3', '-sublen5']",[0]
12489,2,"['-sublen10', '-sublen7']",[0]
12488,3,"['-sublen3', '-sublen3', '-sublen2']",[0]
12487,5,"['-sublen3', '-sublen7', '-sublen6', '-sublen4', '-sublen3']",[0]
12486,2,"['-sublen3', '-sublen4']",[0]
12485,3,"['-sublen6', '-sublen5', '-sublen4']",[0]
12484,4,"['-sublen9', '-sublen8', '-sublen8', '-sublen4']",[1]
12483,3,"['-sublen6', '-sublen4', '-sublen3']",[0]
12482,3,"['-sublen5', '-sublen4', '-sublen4']",[1]
12481,5,"['-sublen3', '-sublen4', '-sublen4', '-sublen2', '-sublen2']",[0]
12480,2,"['-sublen3', '-sublen5']",[0]
12479,2,"['-sublen6', '-sublen7']",[0]
12477,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
12476,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
12475,3,"['-sublen9', '-sublen4', '-sublen2']",[0]
12474,5,"['-sublen4', '-sublen10', '-sublen5', '-sublen6', '-sublen7']",[0]
12473,5,"['-sublen3', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
12472,4,"['-sublen8', '-sublen8', '-sublen6', '-sublen2']",[1]
12471,5,"['-sublen7', '-sublen7', '-sublen5', '-sublen5', '-sublen5']",[1]
12470,3,"['-sublen5', '-sublen6', '-sublen3']",[1]
12469,4,"['-sublen9', '-sublen2', '-sublen2', '-sublen2']",[0]
12467,5,"['-sublen10', '-sublen10', '-sublen3', '-sublen10', '-sublen3']",[0]
12466,2,"['-sublen7', '-sublen3']",[0]
12465,5,"['-sublen2', '-sublen8', '-sublen4', '-sublen4', '-sublen4']",[0]
12464,5,"['-sublen10', '-sublen7', '-sublen10', '-sublen8', '-sublen10']",[0]
12463,2,"['-sublen1', '-sublen8']",[0]
12462,2,"['-sublen7', '-sublen1']",[0]
12461,2,"['-sublen7', '-sublen10']",[0]
12460,5,"['-sublen7', '-sublen4', '-sublen4', '-sublen6', '-sublen4']",[0]
12459,4,"['-sublen8', '-sublen6', '-sublen6', '-sublen5']",[0]
12457,5,"['-sublen9', '-sublen9', '-sublen2', '-sublen7', '-sublen4']",[1]
12455,4,"['-sublen5', '-sublen4', '-sublen2', '-sublen2']",[0]
12454,1,['-sublen9'],[0]
12453,3,"['-sublen2', '-sublen6', '-sublen3']",[0]
12452,5,"['-sublen10', '-sublen5', '-sublen4', '-sublen4', '-sublen4']",[1]
12451,4,"['-sublen2', '-sublen10', '-sublen5', '-sublen3']",[0]
12450,2,"['-sublen6', '-sublen10']",[1]
12449,1,['-sublen7'],[0]
12448,3,"['-sublen7', '-sublen4', '-sublen4']",[0]
12447,1,['-sublen7'],[1]
12446,5,"['-sublen10', '-sublen3', '-sublen2', '-sublen2', '-sublen2']",[0]
12445,1,['-sublen10'],[0]
12444,3,"['-sublen10', '-sublen5', '-sublen5']",[1]
12443,5,"['-sublen10', '-sublen10', '-sublen4', '-sublen4', '-sublen4']",[0]
12442,5,"['-sublen5', '-sublen3', '-sublen3', '-sublen2', '-sublen2']",[0]
12441,5,"['-sublen5', '-sublen4', '-sublen2', '-sublen3', '-sublen4']",[1]
12440,3,"['-sublen7', '-sublen10', '-sublen6']",[0]
12439,5,"['-sublen10', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
12438,4,"['-sublen5', '-sublen10', '-sublen2', '-sublen2']",[0]
12437,3,"['-sublen5', '-sublen3', '-sublen5']",[0]
12436,1,['-sublen7'],[0]
12435,5,"['-sublen5', '-sublen5', '-sublen3', '-sublen9', '-sublen5']",[1]
12434,1,['-sublen6'],[0]
12433,2,"['-sublen7', '-sublen2']",[0]
12432,5,"['-sublen4', '-sublen9', '-sublen5', '-sublen5', '-sublen3']",[1]
12431,1,['-sublen8'],[0]
12430,2,"['-sublen6', '-sublen3']",[0]
12429,5,"['-sublen5', '-sublen9', '-sublen7', '-sublen8', '-sublen3']",[0]
12428,2,"['-sublen10', '-sublen10']",[1]
12427,2,"['-sublen8', '-sublen3']",[0]
12425,2,"['-sublen4', '-sublen6']",[1]
12424,3,"['-sublen4', '-sublen3', '-sublen6']",[0]
12423,2,"['-sublen10', '-sublen10']",[0]
12422,5,"['-sublen7', '-sublen9', '-sublen5', '-sublen3', '-sublen3']",[1]
12421,5,"['-sublen3', '-sublen5', '-sublen8', '-sublen3', '-sublen2']",[0]
12420,3,"['-sublen8', '-sublen4', '-sublen2']",[0]
12419,1,['-sublen4'],[0]
12418,4,"['-sublen6', '-sublen7', '-sublen2', '-sublen5']",[1]
12417,3,"['-sublen10', '-sublen5', '-sublen10']",[0]
12416,5,"['-sublen8', '-sublen5', '-sublen7', '-sublen4', '-sublen3']",[0]
12414,2,"['-sublen4', '-sublen3']",[0]
12413,2,"['-sublen5', '-sublen3']",[0]
12412,2,"['-sublen4', '-sublen9']",[0]
12411,2,"['-sublen4', '-sublen4']",[0]
12410,4,"['-sublen3', '-sublen2', '-sublen5', '-sublen3']",[0]
12409,5,"['-sublen6', '-sublen3', '-sublen2', '-sublen2', '-sublen2']",[0]
12408,3,"['-sublen2', '-sublen6', '-sublen2']",[0]
12406,3,"['-sublen2', '-sublen9', '-sublen3']",[0]
12405,5,"['-sublen3', '-sublen6', '-sublen3', '-sublen8', '-sublen5']",[0]
12404,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
12403,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
12402,4,"['-sublen8', '-sublen6', '-sublen5', '-sublen3']",[1]
12401,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
12400,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
12399,3,"['-sublen4', '-sublen6', '-sublen6']",[1]
12398,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[1]
12397,1,['-sublen10'],[0]
12396,1,['-sublen10'],[0]
12395,2,"['-sublen10', '-sublen10']",[0]
12394,3,"['-sublen10', '-sublen5', '-sublen6']",[0]
12393,3,"['-sublen10', '-sublen5', '-sublen6']",[0]
12392,4,"['-sublen4', '-sublen8', '-sublen5', '-sublen5']",[1]
12391,4,"['-sublen7', '-sublen8', '-sublen5', '-sublen3']",[1]
12390,5,"['-sublen9', '-sublen7', '-sublen5', '-sublen3', '-sublen1']",[1]
12389,5,"['-sublen10', '-sublen9', '-sublen8', '-sublen7', '-sublen6']",[0]
12388,5,"['-sublen10', '-sublen5', '-sublen4', '-sublen3', '-sublen2']",[0]
12387,2,"['-sublen10', '-sublen10']",[1]
12386,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[1]
12385,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
12384,3,"['-sublen3', '-sublen5', '-sublen3']",[1]
12383,3,"['-sublen5', '-sublen10', '-sublen10']",[1]
12382,4,"['-sublen6', '-sublen6', '-sublen4', '-sublen3']",[1]
12381,3,"['-sublen4', '-sublen4', '-sublen3']",[0]
12380,3,"['-sublen5', '-sublen10', '-sublen10']",[1]
12379,2,"['-sublen10', '-sublen5']",[0]
12378,2,"['-sublen5', '-sublen6']",[1]
12377,3,"['-sublen7', '-sublen2', '-sublen3']",[0]
12376,3,"['-sublen2', '-sublen10', '-sublen3']",[0]
12375,3,"['-sublen4', '-sublen5', '-sublen4']",[0]
12374,3,"['-sublen8', '-sublen8', '-sublen7']",[0]
12373,2,"['-sublen9', '-sublen3']",[1]
12372,3,"['-sublen6', '-sublen8', '-sublen2']",[0]
12371,2,"['-sublen9', '-sublen9']",[0]
12370,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen2']",[0]
12369,1,['-sublen10'],[1]
12368,3,"['-sublen5', '-sublen5', '-sublen2']",[0]
12367,2,"['-sublen5', '-sublen7']",[0]
12366,2,"['-sublen5', '-sublen10']",[0]
12365,4,"['-sublen7', '-sublen9', '-sublen9', '-sublen3']",[0]
12364,4,"['-sublen7', '-sublen9', '-sublen9', '-sublen3']",[0]
12363,3,"['-sublen10', '-sublen5', '-sublen5']",[0]
12362,3,"['-sublen2', '-sublen10', '-sublen5']",[1]
12361,5,"['-sublen5', '-sublen4', '-sublen5', '-sublen8', '-sublen10']",[1]
12360,1,['-sublen10'],[1]
12359,5,"['-sublen10', '-sublen10', '-sublen8', '-sublen2', '-sublen2']",[1]
12358,2,"['-sublen10', '-sublen5']",[1]
12357,2,"['-sublen10', '-sublen5']",[0]
12356,5,"['-sublen6', '-sublen4', '-sublen9', '-sublen5', '-sublen4']",[0]
12355,4,"['-sublen3', '-sublen5', '-sublen2', '-sublen3']",[0]
12354,3,"['-sublen5', '-sublen5', '-sublen4']",[1]
12353,3,"['-sublen3', '-sublen9', '-sublen7']",[1]
12352,2,"['-sublen5', '-sublen7']",[1]
12351,2,"['-sublen6', '-sublen10']",[1]
12350,5,"['-sublen6', '-sublen8', '-sublen5', '-sublen3', '-sublen2']",[1]
12349,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
